8	2671902	10.000001	0.000004	2.038499
16	2659205	10.000001	0.000004	4.057624
32	2550979	10.000000	0.000004	7.784970
64	2529711	10.000004	0.000004	15.440124
128	2490242	10.000004	0.000004	30.398449
256	2433042	10.000003	0.000004	59.400423
512	2404014	10.000002	0.000004	117.383467
1024	2096101	10.051796	0.000005	203.642578
2048	1882363	10.000001	0.000005	367.648969
4096	1430970	10.000001	0.000007	558.972601
8192	913686	10.000005	0.000011	713.816821
16384	402100	10.000002	0.000025	628.281094
32768	277588	10.000002	0.000036	867.462320
65536	172594	10.000020	0.000058	1078.710311
131072	94258	10.000054	0.000106	1178.218604
